r2_score_train_P1,r2_score_test_P1,r2_score_train_P2,r2_score_test_P2,r2_score_train_P3,r2_score_test_P3,r2_score_train_P4,r2_score_test_P4,r2_score_train_P5,r2_score_test_P5,r2_score_train_P6,r2_score_test_P6,r2_score_train_P7,r2_score_test_P7,r2_score_train_P8,r2_score_test_P8,r2_score_train_P9,r2_score_test_P9
,,,,,,0.8738791139709319,0.5337554655806012,,,,,,,,,,
,,,,,,,,0.896123129767819,0.5479150812336373,,,,,,,,
,,,,,,,,,,0.6186207455484143,-0.08781227165840555,,,,,,
,,,,,,,,,,,,0.6092438009930556,0.14870604664261733,,,,
,,,,,,,,,,,,,,0.8292625154302637,0.10766370118388358,,
,,,,,,,,,,,,,,,,0.8449504700444663,0.274097894289394
0.6428761287333814,0.23399403910583816,,,,,,,,,,,,,,,,
,,0.8239241216986953,-1.1205751539227236,,,,,,,,,,,,,,
,,,,0.70176383200765,0.27106217869240656,,,,,,,,,,,,
,,,,,,0.90178195224093,0.3119854761361589,,,,,,,,,,
,,,,,,,,0.8702393998205318,0.6322792165984226,,,,,,,,
,,,,,,,,,,0.6568603252051323,0.06096619581314644,,,,,,
,,,,,,,,,,,,0.6478723787194597,0.18044509044916368,,,,
,,,,,,,,,,,,,,0.833973605694058,0.16235578574176068,,
,,,,,,,,,,,,,,,,0.8017690997736413,0.5737049361620649
0.6651251163166456,0.016711541894242732,,,,,,,,,,,,,,,,
,,0.7974062024674307,0.6105504373101391,,,,,,,,,,,,,,
,,,,0.6870399479912729,0.33279355660676924,,,,,,,,,,,,
,,,,,,0.8775596354514084,-0.3778497283766331,,,,,,,,,,
,,,,,,,,0.910802306991162,0.051699676587551924,,,,,,,,
,,,,,,,,,,0.5990604010273668,0.182375079061334,,,,,,
,,,,,,,,,,,,0.6023761178961655,0.32904983330178816,,,,
,,,,,,,,,,,,,,0.853047220941203,0.4151089171390644,,
,,,,,,,,,,,,,,,,0.7757115824329555,0.5267069918093512
0.6223190402484828,0.37562404750858247,,,,,,,,,,,,,,,,
,,0.8282648611539734,0.22597570199734396,,,,,,,,,,,,,,
,,,,0.6893920662970776,0.37942218399103833,,,,,,,,,,,,
,,,,,,0.8916184195844289,0.617085731417998,,,,,,,,,,
,,,,,,,,0.8964242056024744,0.3184806410278572,,,,,,,,
