r2_score_train_0,r2_score_test_0,r2_score_train_1,r2_score_test_1,r2_score_train_2,r2_score_test_2
,,0.6177811096243235,0.7641791663723443,,
,,,,0.5951661458329036,0.4526923225959021
0.5135328925627869,0.4388149973902565,,,,
,,0.6580098311738327,0.5507564113944661,,
,,,,0.6402203416164449,0.2311315751077765
0.4906731197259454,0.5411733955857452,,,,
,,0.6416844612033534,0.6305344185562194,,
,,,,0.5821980385226462,0.4896351873650925
0.5132031679190316,0.4354118400617967,,,,
,,0.6412378123757745,0.6250931075703362,,
,,,,0.5654454871627298,0.5781197671052705
0.4942266778974606,0.5032521697262701,,,,
,,0.6250458946591504,0.7008276685021075,,
,,,,0.6235076247492582,0.3602855367066824
0.5121601742048312,0.456232626170016,,,,
,,0.6385662058772439,0.632013808936488,,
,,,,0.5917479189403108,0.517287008868472
0.5081235110750397,0.470829135204261,,,,
,,0.6327196639875633,0.6706601608522877,,
,,,,0.5946253089115252,0.5063362164928393
0.5177292159645865,0.4317720255335886,,,,
,,0.6256504968031629,0.6939846729334769,,
,,,,0.5920836314268971,0.5179395166686296
0.5124278776689497,0.4603085969204463,,,,
,,0.6298835213866756,0.6852087592602398,,
,,,,0.6389168217904833,-0.0230307745668412
0.5603957390128391,0.0092585549989326,,,,
,,0.6401571062237239,0.6296922650728627,,
,,,,0.6268291948578613,0.4005466331522677
0.5150070493129849,0.4252444767797462,,,,
,,0.6089817213457969,0.6933786937089474,,
,,,,0.5783955498629063,0.5611423724592368
0.4989934755491322,0.481179722851568,,,,
,,0.6459905698146322,0.5855379581839368,,
,,,,0.5876992820874273,0.4622918891373386
0.5005507254457384,0.485740701213308,,,,
,,0.6552970814597519,0.5630976099886784,,
,,,,0.6046872110525894,0.4466954693077617
0.4983747098955212,0.4783180663365046,,,,
,,0.6646517607134896,0.4876241502755418,,
,,,,0.6054101979960846,0.4469361813084691
0.5253876309969017,0.2276804646610319,,,,
,,0.6496739140020795,0.6039852562868956,,
,,,,0.5897429378431649,0.5045091640512713
0.5193302183452747,0.4037791405406895,,,,
,,0.6462627166506711,0.6156511343198235,,
,,,,0.6004567654188472,0.4400262913292541
0.5112331387012627,0.4533814302388568,,,,
,,0.6808777257096399,0.3586617295319978,,
,,,,0.5641025067625617,0.6478185469422724
0.4960606326667073,0.5115175121885809,,,,
,,0.6182422340987399,0.6845270960964447,,
,,,,0.5698253097178384,0.6032394953915281
0.487808460125395,0.5808313071087368,,,,
,,0.6021070971089427,0.6900615956974216,,
,,,,0.5113322787359905,0.7092443376459804
0.5109713695586633,0.4287243644969727,,,,
,,0.6415315841374798,0.6259879524023011,,
,,,,0.6299110848709961,0.3683651439843449
0.5098186875470319,0.4706273943426529,,,,
,,0.6534431017584377,0.5868748517966023,,
,,,,0.564259730808574,0.6227524911056234
0.5052839479538549,0.4486650138769477,,,,
,,0.6649825496291131,0.5196027763997533,,
,,,,0.5849799944887544,0.4591791235221171
0.525360862659523,0.3829239082086477,,,,
,,0.6282827449594236,0.6975521087787144,,
,,,,0.5868240801031617,0.5067481598835906
0.4911748901970573,0.5470728042211204,,,,
,,0.6176246545854298,0.7405243705953208,,
,,,,0.55997618813892,0.6080023941863164
0.5173591979184969,0.4123531540290466,,,,
,,0.6500258630547306,0.5794139965981826,,
,,,,0.5730717613511744,0.5287770737136196
0.4850043722157516,0.5451274371315559,,,,
,,0.6431714064093859,0.6125114662494715,,
,,,,0.6375047791968106,0.2255241302685542
0.5374491138660411,0.2385753365947803,,,,
,,0.6788533939778186,0.4810440568022159,,
,,,,0.5866626972789539,0.4772978312160881
0.5216944146923068,0.43883621855362,,,,
,,0.6674164909286976,0.50139758258135,,
,,,,0.6140086553427693,0.3349002464457525
0.4824904893720021,0.5659015336916524,,,,
,,0.5924981765513734,0.757275061901186,,
,,,,0.5703404488734483,0.5609525678410527
0.5419429859930192,0.343536888769856,,,,
,,0.6665427959273934,0.4114314570693398,,
,,,,0.5816923811958515,0.5097503189660593
0.4880636316150804,0.5773854685042552,,,,
,,0.6405535412518834,0.6075121175518494,,
,,,,0.6231598153188205,0.2699843780245919
0.5198467119671534,0.4191096100470264,,,,
,,0.6828533301622679,0.4843469438868596,,
,,,,0.6074298247772432,0.3885687488829106
0.5075373216838829,0.4421836223101897,,,,
,,0.6084459573034419,0.7359032648462513,,
,,,,0.5982136001938888,0.4792853301925621
0.5284512163031704,0.3029890135758452,,,,
,,0.639646213351521,0.642455880338419,,
,,,,0.6023594921242806,0.3983306476265411
0.5217868334316489,0.4143416274540279,,,,
,,0.6723651577713686,0.4701868858187886,,
,,,,0.5809929454141987,0.5481166245048954
0.5097043998576485,0.4458570698402558,,,,
,,0.626980892668979,0.6874838990459498,,
,,,,0.5995829706496119,0.4040936885581171
0.5076962890887643,0.4626359355466349,,,,
,,0.6274983647308461,0.6630263127140692,,
,,,,0.5889475625562325,0.4982977751188129
0.5064669320640769,0.4779261460816972,,,,
,,0.6532821924376542,0.5974782606602402,,
,,,,0.5836190549368999,0.54848081336847
0.509912534437877,0.4727811192797067,,,,
,,0.6453189244739255,0.6162388135909418,,
,,,,0.5078876573694555,0.7140991057691957
0.5173239724212084,0.422874550005761,,,,
,,0.6070813306378471,0.678537803889026,,
,,,,0.5741080278480033,0.5791002237362786
0.5184394218895025,0.4207956484992674,,,,
,,0.6805510068482423,0.3251030719614426,,
,,,,0.5662114230466656,0.5473453605345433
0.5130142582865733,0.4122642324038889,,,,
,,0.6536046558308827,0.5920159980643264,,
,,,,0.5897457153307023,0.4901576435258441
0.5239450687397872,0.4249572101000837,,,,
,,0.6390913467472317,0.6427726280912904,,
,,,,0.6098880460418115,0.4059217387144207
0.5198023902921989,0.3449714876833401,,,,
,,0.6417032855351245,0.6336311737788436,,
,,,,0.5775636138269806,0.5183876994902925
0.5214068770849475,0.3613569700756476,,,,
,,0.616725347040181,0.6921865792140505,,
,,,,0.5887651391231383,0.4945878290061717
0.501355717479993,0.4988354479105261,,,,
,,0.6812132120187026,0.4293378890680528,,
,,,,0.5447295251713768,0.7176186415434795
0.494939077250029,0.5348052192015961,,,,
,,0.6352825883622895,0.6691582345451219,,
,,,,0.5681499565619335,0.5745714162963093
0.5030864226482157,0.4811145976038377,,,,
,,0.6223201855977055,0.6977622351652201,,
,,,,0.6100617310081942,0.426436412129864
0.5264810679231802,0.3751523974614142,,,,
,,0.6505862756171641,0.5390381830200419,,
,,,,0.6218785014235897,0.2222440071822515
0.5058344419033991,0.4878896657724789,,,,
,,0.6325673393690615,0.6685147452747079,,
,,,,0.5641686212436483,0.6029426315593005
0.5567508787047846,0.3207410033069486,,,,
,,0.6734765785242856,0.5115163905682113,,
,,,,0.5580035168165434,0.6254359986794318
0.5019523229424895,0.490909949566381,,,,
,,0.6506379022792441,0.5770551139361767,,
,,,,0.6000123132626346,0.5024022502084666
0.5122432165027475,0.3992643597827807,,,,
,,0.667607578186675,0.468966902496773,,
,,,,0.6195865799961933,0.3006063200810152
0.508398597668037,0.4657942243528477,,,,
,,0.6747561894558034,0.4716501590154347,,
,,,,0.520517578753521,0.6778351207554878
0.4972755148318107,0.5108609262563906,,,,
,,0.6279650228488951,0.6752710387940054,,
,,,,0.5625096339446937,0.6224770633114912
0.5293214611366015,0.3477228169435252,,,,
,,0.6359591950272068,0.6435546343375331,,
,,,,0.6112911150461036,0.3334520350238379
0.5281755327437847,0.2100406862381519,,,,
,,0.6537861559029371,0.5488759341328739,,
,,,,0.5784627781721516,0.5673920348439918
0.5370704551520158,0.2441259256075101,,,,
,,0.6366828615250122,0.6449947207402126,,
,,,,0.556041285256367,0.6366124427453619
0.5178146904044492,0.4267223016183361,,,,
,,0.6438213879172249,0.6106766037102438,,
,,,,0.6357012148089348,0.3442051083461144
0.5333944027868751,0.3316196648042629,,,,
,,0.6505300139856085,0.5914113498790501,,
,,,,0.6389622485930755,0.269080105078342
0.5069314540062626,0.4774206106618003,,,,
,,0.6579050731023126,0.5829068875924176,,
,,,,0.6154185126688518,0.3650778278786872
0.4938114686163761,0.5145466773474312,,,,
,,0.6478046207382016,0.579266157147403,,
,,,,0.6058373442791852,0.4266027562960478
0.5202065066100479,0.292079787006288,,,,
,,0.6437674858672389,0.6026470990154642,,
,,,,0.583804356668959,0.5422502661718155
0.5004247342170896,0.4979653971613083,,,,
,,0.6773985453029597,0.2421041761416694,,
,,,,0.5962674943855331,0.4665047757334001
0.563758473329003,0.2354092706435862,,,,
,,0.6653244077725323,0.5056962090767305,,
,,,,0.6122673206036359,0.4179604979714322
0.4865583367325481,0.5447231551472393,,,,
,,0.6451315939655748,0.5928600077809205,,
,,,,0.5426482719314744,0.7060963834781747
0.5271916761304287,0.3316835699586737,,,,
,,0.6372266680773577,0.6470667009029569,,
,,,,0.6155230937460849,0.4445163126404186
0.4864835975180718,0.56547686801141,,,,
,,0.6215992140283166,0.7156418107583515,,
,,,,0.6113729555346303,0.3385288410841044
0.4974706750038383,0.5219365373712894,,,,
,,0.6568820323630195,0.5708089674592383,,
,,,,0.5746008342858151,0.5509327698897513
0.495307028277169,0.5374851381205844,,,,
,,0.620648880281339,0.6946810623432045,,
,,,,0.5724258505744446,0.5955007471884255
0.5129337420586406,0.431119553639919,,,,
,,0.6480269160600677,0.6076981103133227,,
,,,,0.6116014438590069,0.4354864918631558
0.5131006159285253,0.4527655414828516,,,,
,,0.6717835176658953,0.5093981307191287,,
,,,,0.573039980194863,0.5906775496772656
0.5175602904680774,0.4008796689894608,,,,
,,0.6340884159456918,0.6404534754747506,,
,,,,0.6026718387121717,0.455233301629614
0.4814051182229669,0.5754494278609972,,,,
,,0.6148920132374849,0.6918484303734586,,
,,,,0.557462926900325,0.6551519257671052
0.5545957232883494,0.2546680699647896,,,,
,,0.6686733985660269,0.5148654406301831,,
,,,,0.5796006072807598,0.5011274320187007
0.5093909805907382,0.4597717024773139,,,,
,,0.6348614702235105,0.664772013252749,,
,,,,0.5273858589433185,0.6676913429853568
0.5448052834615329,0.2596450718703581,,,,
,,0.632221005001758,0.6755804140008475,,
,,,,0.6001745951305318,0.4857310550976575
0.5109660067991209,0.4438193120924915,,,,
,,0.6519304652749536,0.587890864305468,,
,,,,0.590882308514695,0.5014470508303582
0.501710423353438,0.4945525173146391,,,,
,,0.6567673871229089,0.5702368048109404,,
,,,,0.5840480888893981,0.466776721785776
0.5447420333760405,0.316498210055797,,,,
,,0.6543056947742663,0.575046660003377,,
,,,,0.5813045474885898,0.5617343902851359
0.482896478707678,0.6092853927905868,,,,
,,0.649276854184873,0.5987830666057155,,
,,,,0.5597425536846505,0.6454436031522173
0.5138647828465479,0.4318761661379986,,,,
,,0.6644501915704645,0.5715477250573416,,
,,,,0.5941995030478837,0.5093677448663996
0.4746547437271363,0.586966135582298,,,,
,,0.6192158320110177,0.7075209117204521,,
,,,,0.5799835009538734,0.5153668168275056
0.4978917687027052,0.5005167350957085,,,,
,,0.6385057651746715,0.6473461081556402,,
,,,,0.6019754836714477,0.0314517882547213
0.5028966456291897,0.4740950003974606,,,,
,,0.6656825498982264,0.5049314303198407,,
,,,,0.6153250347436725,0.3885885234795002
0.5062783321266442,0.4748736506957407,,,,
,,0.6623825445321629,0.5197077275733595,,
,,,,0.5802218750649735,0.5409487794729709
0.5234201320249241,0.4042922014988794,,,,
,,0.6329005852591743,0.6798440181259946,,
,,,,0.5537911637539968,0.6138389870830373
0.5002800367379101,0.4949471068197871,,,,
,,0.6862546772420874,0.4030234523756295,,
,,,,0.5506660235612049,0.6618853139803785
0.5385772942141553,0.284384722255288,,,,
,,0.6481726548630662,0.6041952562290298,,
,,,,0.5668428093818356,0.5769424660511886
0.5058816976524763,0.4796709333149943,,,,
,,0.6259867426291592,0.715720542905018,,
,,,,0.5980113945348839,0.453471437836618
0.5075145995893602,0.4693807976843277,,,,
,,0.6761215391734612,0.5218937490062172,,
,,,,0.6106662499445539,0.4583125955628973
0.5095805697557434,0.4607196137323328,,,,
,,0.6102636702385885,0.7355083199695353,,
,,,,0.5965486218624905,0.460200580683423
0.5062589627225137,0.4801245799005108,,,,
,,0.623776642543615,0.6887431632112155,,
,,,,0.5870341981042659,0.5105310487675785
0.4766487354217837,0.6042343580772425,,,,
